fish_id,species,common_name,kingdom,phylum,class,order,family,genus,status,feeding_type,temp_max,weight_max,length_max,temp_pref_min,temp_pref_max,temp_range_min,temp_range_max,trophic_lvl_estimate_min,trophic_lvl_estimate_max,trophic_lvl,fecundity_mean,fecundity_min,fecundity_max,waterbody_name,wb_ph_min,wb_ph_max,wb_salinity_min,wb_salinity_max,wb_do_min,wb_do_max,wb_bod_min,wb_bod_max,wb_turbidity_min,wb_turbidity_max,wb_temp_min,wb_temp_max
F0001,Copella arnoldi,Splash tetra,Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Copella,established,predator,,0.328,3.489,25,29,4.0,4.0,,,3.26,175,150.0,200.0,Amazon Basin,5.5,5.5,0.0,0.0,5.5,5.5,2.0,2.0,4.0,4.0,27.0,27.0
F0001,Copella arnoldi,Splash tetra,Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Copella,established,predator,,0.328,3.489,25,29,4.0,4.0,,,3.26,175,150.0,200.0,Demerara River Wismar,6.2,6.2,0.0,0.0,6.0,6.0,3.0,3.0,6.0,6.0,27.0,27.0
F0001,Copella arnoldi,Splash tetra,Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Copella,established,predator,,0.328,3.489,25,29,4.0,4.0,,,3.26,175,150.0,200.0,Yarakita River,5.3,5.3,0.0,0.0,5.0,5.0,2.0,2.0,3.0,3.0,26.5,26.5
F0001,Copella arnoldi,Splash tetra,Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Copella,established,predator,,0.328,3.489,25,29,4.0,4.0,,,3.26,175,150.0,200.0,Arauau River,5.4,5.4,0.0,0.0,5.2,5.2,2.0,2.0,4.0,4.0,27.0,27.0
F0001,Copella arnoldi,Splash tetra,Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Copella,established,predator,,0.328,3.489,25,29,4.0,4.0,,,3.26,175,150.0,200.0,"Kurupung River, Upper Mazaruni District",6.0,6.0,0.0,0.0,4.5,4.5,4.0,4.0,20.0,20.0,26.0,26.0
F0001,Copella arnoldi,Splash tetra,Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Copella,established,predator,,0.328,3.489,25,29,4.0,4.0,,,3.26,175,150.0,200.0,Suriname River Kabel Station,6.8,6.8,0.0,0.0,6.0,6.0,3.0,3.0,15.0,15.0,27.0,27.0
F0001,Copella arnoldi,Splash tetra,Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Copella,established,predator,,0.328,3.489,25,29,4.0,4.0,,,3.26,175,150.0,200.0,Dalibane Creek,6.0,6.0,0.0,0.0,5.0,5.0,2.0,2.0,5.0,5.0,27.0,27.0
F0001,Copella arnoldi,Splash tetra,Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Copella,established,predator,,0.328,3.489,25,29,4.0,4.0,,,3.26,175,150.0,200.0,Lane Creek,6.0,6.0,0.0,0.0,5.0,5.0,2.0,2.0,5.0,5.0,27.0,27.0
F0001,Copella arnoldi,Splash tetra,Animalia,Chordata,Actinopterygii,Characiformes,Lebiasinidae,Copella,established,predator,,0.328,3.489,25,29,4.0,4.0,,,3.26,175,150.0,200.0,Luci River,5.8,5.8,0.0,0.0,5.0,5.0,2.0,2.0,4.0,4.0,27.0,27.0
F0002,Hyphessobrycon pulchripinnis,Lemon tetra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,established,other,,0.5,3.8,23,28,5.0,5.0,,,2.91,6390,4680.0,8100.0,Rio Tapajós (Santarém waterfront),6.0,7.0,0.0,0.0,0.11,1.69,137.7,415.98,16.79,23.69,28.7,31.1
