,Missing Before,Missing After,Difference
common_name,509,509,0
kingdom,24,24,0
phylum,21,21,0
class,21,21,0
order,22,22,0
family,22,22,0
genus,21,21,0
temp_max,4390,4390,0
weight_max,3756,3756,0
length_max,2945,2945,0
temp_pref_min,2718,2718,0
temp_pref_max,2705,2705,0
temp_range_min,2754,0,2754
temp_range_max,2754,0,2754
trophic_lvl_estimate_min,3595,3595,0
trophic_lvl_estimate_max,3595,3595,0
trophic_lvl,2508,2508,0
fecundity_mean,4249,4249,0
fecundity_min,4170,0,4170
fecundity_max,3914,0,3914
waterbody_name,104,104,0
wb_ph_min,747,0,747
wb_ph_max,747,0,747
wb_salinity_min,1144,0,1144
wb_salinity_max,1144,0,1144
wb_do_min,1161,0,1161
wb_do_max,1161,0,1161
wb_bod_min,3384,0,3384
wb_bod_max,3384,0,3384
wb_turbidity_min,2680,0,2680
wb_turbidity_max,2680,0,2680
wb_temp_min,837,0,837
wb_temp_max,837,0,837
